Type,Radius,Length
1,0,24.5
0,0.25,0.1
1,0,17.25
0,0.25,0.1
1,0,4
0,0.25,0.1
1,0,14.6
0,0.25,0.1
1,0,4
0,0.25,0.1
1,0,10.8
0,0.25,0.1
1,0,4
0,0.25,0.1
1,0,8.6
0,0.25,0.1
1,0,4
0,0.25,0.1
1,0,6
0,0.25,0.1
0,0,16
0,12,24
1,0,25
0,12,25.875
1,0,32.8
0,27.56,105.75
1,0,46.5
0,12.25,20
1,0,15
0,9,26
1,0,60
0,7.25,22
1,0,42.7
0,18.4,6
0,18.4,6
0,18.4,6
0,18.4,6
0,18.4,6
0,18.4,6
0,18.4,6
0,36.8,12
0,23,63
1,0,9
0,9,20
1,0,13.6
0,9,21
1,0,13.6
0,9,21
1,0,13.6
0,18.5,46
1,0,17
0,18.4,6
0,18.4,12
0,18.4,12
0,18.4,12
0,18.4,12
0,18.4,12
0,18.4,12
0,12,18
1,0,13.75
