,Radius (ft),Length (ft)
0,75.91356324,3.28084
0,65.9689864,3.28084
0,60.99669798,3.28084
0,50.73835758,3.28084
0,47.99702547,3.28084
0,47.16406257,3.28084
0,47.31044872,3.28084
0,48.2083472,3.28084
0,45.75954278,3.28084
0,46.34863642,3.28084
0,45.95838101,3.28084
0,45.10435566,3.28084
0,46.64406348,3.28084
0,49.7684388,3.28084
0,54.4535831,3.28084
0,58.37543556,3.28084
0,58.26308195,3.28084
0,59.50971259,3.28084
0,63.92726651,3.28084
0,68.9245096,3.28084
0,76.25985935,3.28084
0,84.19002025,3.28084
0,86.38831869,3.28084
0,101.862284,3.28084
0,117.4926409,3.28084
0,129.584535,3.28084
0,143.0334397,3.28084
0,125.381744,3.28084
0,113.5595215,3.28084
0,99.79873871,3.28084
0,85.68111538,3.28084
0,85.6259399,3.28084
0,77.39947627,3.28084
0,70.69765405,3.28084
0,63.99583183,3.28084
0,61.24009791,3.28084
0,60.82617896,3.28084
0,60.82617896,3.28084
0,62.49300743,3.28084
0,62.24569522,3.28084
0,61.99838301,3.28084
0,63.8611918,3.28084
0,63.89069934,3.28084
0,64.56384571,3.28084
0,65.23699208,3.28084
0,63.80001744,3.28084
0,64.50824655,3.28084
0,66.48697751,3.28084
0,67.91412323,3.28084
0,69.34126894,3.28084
0,96.58240224,3.28084
0,123.8235355,3.28084
0,151.6162541,3.28084
0,179.4089726,3.28084
0,155.7002747,3.28084
0,131.9915767,3.28084
0,106.7627709,3.28084
0,102.021086,3.28084
0,114.4146292,3.28084
0,126.8081724,3.28084
0,132.7256508,3.28084
0,118.1560082,3.28084
0,99.8451635,3.28084
0,81.6007796,3.28084
0,68.26173719,3.28084
0,54.92269478,3.28084
0,52.56408155,3.28084
0,54.33047517,3.28084
0,53.06670376,3.28084
0,51.80293235,3.28084
0,49.87340372,3.28084
0,43.75240739,3.28084
0,43.75240739,3.28084
0,43.75240739,3.28084
0,44.21315093,3.28084
0,46.33332549,3.28084
0,60.88496783,3.28084
0,73.51552058,3.28084
0,87.90728262,3.28084
0,113.6210046,3.28084
0,126.9032587,3.28084
0,262.1644343,3.28084
0,288.3053353,3.28084
0,278.7534815,3.28084
0,270.3383128,3.28084
0,131.2793666,3.28084
0,88.11755911,3.28084
0,66.36998856,3.28084
0,43.11614035,3.28084
0,30.44823795,3.28084
0,30.68617073,3.28084
0,31.28025927,3.28084
0,32.28198748,3.28084
0,33.28371569,3.28084
0,32.23455872,3.28084
0,33.73995824,3.28084
0,37.68548258,3.28084
0,43.4260717,3.28084
0,60.00428629,3.28084
0,94.28996835,3.28084
0,126.0974785,3.28084
0,156.1099238,3.28084
0,175.4309766,3.28084
0,162.0563523,3.28084
0,262.4829679,3.28084
0,259.4913876,3.28084
0,244.7844078,3.28084
0,240.960435,3.28084
0,120.1256866,3.28084
0,96.61499438,3.28084
0,96.21977495,3.28084
0,98.31617294,3.28084
0,150.4809585,3.28084
0,208.7398838,3.28084
0,255.5987358,3.28084
0,302.4575878,3.28084
0,282.7189558,3.28084
0,250.9174615,3.28084
0,230.5806983,3.28084
0,201.7505372,3.28084
0,184.116522,3.28084
0,178.5453692,3.28084
0,161.5094853,3.28084
0,152.9669992,3.28084
0,152.9669992,3.28084
0,160.626517,3.28084
0,179.852771,3.28084
0,235.1829128,3.28084
0,290.5130545,3.28084
0,828.6079013,3.28084
0,1355.136012,3.28084
0,1376.363179,3.28084
0,1383.382557,3.28084
0,899.9777122,3.28084
0,408.1299739,3.28084
0,653.9757507,3.28084
0,914.029317,3.28084
0,1174.082883,3.28084
0,2401.451902,3.28084
0,2253.864438,3.28084
0,2718.078519,3.28084
0,3182.2926,3.28084
0,2687.634121,3.28084
0,3299.435667,3.28084
0,3299.435667,3.28084
0,4186.133019,3.28084
0,4080.414725,3.28084
0,85251.34351,3.28084
0,84829.12018,3.28084
0,83309.70929,3.28084
0,82782.71405,3.28084
0,1030.588949,3.28084
0,789.6645148,3.28084
0,736.3285582,3.28084
0,682.9926016,3.28084
0,960.3225825,3.28084
0,1319.603999,3.28084
0,1332.701856,3.28084
0,1306.550211,3.28084
0,898.2154178,3.28084
0,446.0518456,3.28084
0,362.9735628,3.28084
0,319.1447834,3.28084
0,275.316004,3.28084
0,279.7116632,3.28084
0,283.2557146,3.28084
0,287.5558535,3.28084
0,291.8559924,3.28084
0,291.7604721,3.28084
0,292.5165596,3.28084
0,292.5165596,3.28084
0,292.5165596,3.28084
0,281.7003932,3.28084
0,286.4246175,3.28084
0,296.2924492,3.28084
0,368.0042527,3.28084
0,450.5322226,3.28084
0,517.8270732,3.28084
0,634.6176248,3.28084
0,689.5642046,3.28084
0,790.3793489,3.28084
0,890.8872218,3.28084
0,936.7557864,3.28084
0,982.6243509,3.28084
0,982.6243509,3.28084
0,1512.287151,3.28084
0,11722.10563,3.28084
0,11679.86852,3.28084
0,11807.89927,3.28084
0,11253.84791,3.28084
0,886.6975946,3.28084
0,771.6028786,3.28084
0,486.2402886,3.28084
0,333.4849312,3.28084
0,313.6728417,3.28084
0,271.3560572,3.28084
0,229.0392727,3.28084
0,197.5146843,3.28084
0,165.9900958,3.28084
0,156.9702023,3.28084
0,147.9503088,3.28084
0,147.9503088,3.28084
0,140.4384051,3.28084
0,122.8936134,3.28084
0,102.3492218,3.28084
0,84.17319333,3.28084
0,75.81252866,3.28084
0,78.07855,3.28084
0,82.86333687,3.28084
0,85.27976059,3.28084
0,85.39272422,3.28084
0,83.40297756,3.28084
0,81.89406533,3.28084
0,80.3851531,3.28084
0,78.87624087,3.28084
0,80.55760312,3.28084
0,79.2305753,3.28084
0,72.15385252,3.28084
0,64.7586885,3.28084
0,58.13679533,3.28084
0,58.95168739,3.28084
0,65.51627442,3.28084
0,117.0891008,3.28084
0,187.4919383,3.28084
0,332.7438769,3.28084
0,477.9958156,3.28084
0,578.5579562,3.28084
0,1467.470896,3.28084
0,2466.795327,3.28084
0,3466.119757,3.28084
0,3479.716399,3.28084
0,2683.677596,3.28084
0,1594.453326,3.28084
0,494.9931838,3.28084
0,370.4669641,3.28084
0,236.3460525,3.28084
0,200.0205815,3.28084
0,166.534599,3.28084
0,130.2296991,3.28084
0,99.36959761,3.28084
0,71.54059918,3.28084
0,53.42468664,3.28084
0,49.02238608,3.28084
0,50.30999351,3.28084
0,53.95982697,3.28084
0,53.66612128,3.28084
0,55.24864771,3.28084
0,52.43161295,3.28084
0,49.88270746,3.28084
0,48.31515567,3.28084
0,44.70409409,3.28084
0,53.98590518,3.28084
0,57.12735574,3.28084
0,61.22698842,3.28084
0,65.80328292,3.28084
0,59.39096047,3.28084
0,59.31622974,3.28084
0,64.38241308,3.28084
0,67.84929577,3.28084
0,72.27146964,3.28084
0,76.3706445,3.28084
0,75.01620672,3.28084
0,2815.21783,3.28084
0,5555.419453,3.28084
0,5583.470574,3.28084
0,5622.242767,3.28084
0,2902.371269,3.28084
0,174.188046,3.28084
0,152.0003579,3.28084
0,116.7920894,3.28084
0,93.70548102,3.28084
0,75.33341421,3.28084
0,64.4493778,3.28084
0,55.86485019,3.28084
0,53.43537886,3.28084
0,57.78614824,3.28084
0,59.92129687,3.28084
0,60.56752951,3.28084
0,61.21376216,3.28084
0,60.67158254,3.28084
0,58.16927755,3.28084
0,57.15588855,3.28084
0,56.14249955,3.28084
0,55.53676283,3.28084
0,57.93905998,3.28084
0,146.3721492,3.28084
0,220.8169725,3.28084
0,292.8594988,3.28084
0,1042.407782,3.28084
0,985.2933245,3.28084
0,912.9144475,3.28084
0,836.1202993,3.28084
0,80.90842517,3.28084
0,46.32850049,3.28084
0,39.83056635,3.28084
0,39.34223741,3.28084
0,50.74572176,3.28084
0,135.0399917,3.28084
0,220.5049561,3.28084
0,241.1360628,3.28084
0,238.3424658,3.28084
0,162.6580831,3.28084
0,80.47805006,3.28084
0,59.68163572,3.28084
0,51.3300804,3.28084
0,42.29603147,3.28084
0,43.13299653,3.28084
0,45.82586654,3.28084
0,48.51873656,3.28084
0,1195.206972,3.28084
0,2084.785872,3.28084
0,2113.059355,3.28084
0,2141.332837,3.28084
0,998.7258283,3.28084
0,107.6997461,3.28084
0,77.88290629,3.28084
0,48.06606644,3.28084
0,57.50900223,3.28084
0,69.10498362,3.28084
0,80.79713996,3.28084
0,92.4892963,3.28084
0,108.1556805,3.28084
0,123.8220647,3.28084
0,112.4482715,3.28084
0,101.2026036,3.28084
0,76.00328041,3.28084
0,50.80395723,3.28084
0,52.6448114,3.28084
0,53.17523993,3.28084
0,54.51913962,3.28084
0,55.86303931,3.28084
0,59.38073962,3.28084
0,69.80457741,3.28084
0,212.1188965,3.28084
0,224.0471309,3.28084
0,233.8015647,3.28084
0,223.4969588,3.28084
0,78.05964808,3.28084
0,63.00842208,3.28084
0,49.09789075,3.28084
0,54.79779239,3.28084
0,100.1615209,3.28084
0,145.5252494,3.28084
0,1406.703664,3.28084
0,1476.019079,3.28084
0,1475.289053,3.28084
0,1439.527862,3.28084
0,186.8112889,3.28084
0,126.7795845,3.28084
0,88.01186518,3.28084
0,84.27531224,3.28084
0,80.5387593,3.28084
0,70.70510809,3.28084
0,65.83942814,3.28084
0,63.27157958,3.28084
0,60.70373102,3.28084
0,74.63962027,3.28084
0,211.9771629,3.28084
0,347.0168741,3.28084
0,370.692966,3.28084
0,377.8653201,3.28084
0,260.0975548,3.28084
0,142.3297896,3.28084
0,135.9256437,3.28084
0,139.5799061,3.28084
0,160.6243097,3.28084
0,204.1909238,3.28084
0,379.5625019,3.28084
0,476.2135972,3.28084
0,561.8786973,3.28084
0,625.0215868,3.28084
0,504.9495327,3.28084
0,453.5395531,3.28084
0,402.1295735,3.28084
0,350.7195939,3.28084
0,454.5511702,3.28084
0,492.8053856,3.28084
0,518.1481234,3.28084
0,543.4908612,3.28084
0,465.0020229,3.28084
0,541.4054863,3.28084
0,630.7204273,3.28084
0,747.1861548,3.28084
0,863.6518822,3.28084
0,890.8026686,3.28084
0,984.0486838,3.28084
0,880.0131247,3.28084
0,818.5215377,3.28084
0,855.8497231,3.28084
0,712.0851405,3.28084
0,738.451346,3.28084
0,976.5052002,3.28084
0,3351.000505,3.28084
0,3429.203241,3.28084
0,3507.405978,3.28084
0,3331.377093,3.28084
0,920.0869849,3.28084
0,920.0869849,3.28084
0,832.490816,3.28084
0,831.8934019,3.28084
0,831.2959878,3.28084
0,1199.577781,3.28084
0,4277.35724,3.28084
0,7268.137944,3.28084
0,7324.254606,3.28084
0,6852.091791,3.28084
0,3737.853589,3.28084
0,577.1144394,3.28084
0,389.4579431,3.28084
0,420.2004921,3.28084
0,471.1169327,3.28084
0,551.3034394,3.28084
0,593.0713342,3.28084
0,575.8404527,3.28084
0,558.6095713,3.28084
0,459.3964899,3.28084
0,343.9119376,3.28084
0,224.5919646,3.28084
0,102.4646997,3.28084
0,79.55051612,3.28084
0,75.43511658,3.28084
0,79.44843632,3.28084
