,Radius (ft),Length(ft)
0,65.9689864,3.28084
0,60.99669798,3.28084
0,57.78313101,3.28084
0,57.30253806,3.28084
0,50.10016412,3.28084
0,46.90024339,3.28084
0,47.30701411,3.28084
0,47.1444346,3.28084
0,47.17368335,3.28084
0,45.54114708,3.28084
0,45.93387617,3.28084
0,46.70017777,3.28084
0,48.21374442,3.28084
0,51.33717395,3.28084
0,53.95174226,3.28084
0,54.90331173,3.28084
0,57.81731571,3.28084
0,62.85930931,3.28084
0,66.72245612,3.28084
0,69.44082923,3.28084
0,75.02703884,3.28084
0,81.60946714,3.28084
0,94.95750375,3.28084
0,105.1510788,3.28084
0,115.4670557,3.28084
0,126.1251873,3.28084
0,122.4186529,3.28084
0,123.2652141,3.28084
0,114.0913589,3.28084
0,104.9175036,3.28084
0,93.11292289,3.28084
0,79.50923849,3.28084
0,77.63529889,3.28084
0,71.87504383,3.28084
0,67.40716235,3.28084
0,62.93928087,3.28084
0,61.10212492,3.28084
0,61.93739794,3.28084
0,61.77252313,3.28084
0,61.60764832,3.28084
0,62.84952085,3.28084
0,63.98041153,3.28084
0,64.26430097,3.28084
0,63.43697142,3.28084
0,63.88573567,3.28084
0,65.65365389,3.28084
0,66.01482477,3.28084
0,66.11925401,3.28084
0,67.07068449,3.28084
0,86.550594,3.28084
0,106.0305035,3.28084
0,124.191259,3.28084
0,142.3520146,3.28084
0,145.074695,3.28084
0,147.7973754,3.28084
0,130.9781715,3.28084
0,127.8170482,3.28084
0,120.2736117,3.28084
0,112.7301752,3.28084
0,115.6617556,3.28084
0,118.5933359,3.28084
0,115.6618735,3.28084
0,99.11663767,3.28084
0,84.89316087,3.28084
0,70.66968408,3.28084
0,62.22082729,3.28084
0,56.56628229,3.28084
0,53.70752105,3.28084
0,50.80445258,3.28084
0,49.96193831,3.28084
0,49.11942403,3.28084
0,47.83307161,3.28084
0,43.75240739,3.28084
0,44.05956975,3.28084
0,45.47301946,3.28084
0,55.17411435,3.28084
0,63.59448285,3.28084
0,73.49615323,3.28084
0,92.05208424,3.28084
0,110.3008529,3.28084
0,207.4818887,3.28084
0,225.1097316,3.28084
0,228.8773915,3.28084
0,231.9215397,3.28084
0,219.2541301,3.28084
0,199.2525985,3.28084
0,98.34776102,3.28084
0,68.46207642,3.28084
0,53.71730102,3.28084
0,39.48450371,3.28084
0,31.6816895,3.28084
0,31.23836199,3.28084
0,31.65978578,3.28084
0,32.23011595,3.28084
0,33.87616969,3.28084
0,35.90456989,3.28084
0,39.75699407,3.28084
0,50.7116485,3.28084
0,74.5470048,3.28084
0,98.47984974,3.28084
0,121.3369711,3.28084
0,142.5419779,3.28084
0,153.6338585,3.28084
0,233.4656375,3.28084
0,231.4712506,3.28084
0,221.6665974,3.28084
0,210.200866,3.28084
0,196.5954441,3.28084
0,187.8436787,3.28084
0,110.8244688,3.28084
0,102.7507229,3.28084
0,133.7264779,3.28084
0,166.3633112,3.28084
0,201.1398349,3.28084
0,239.9791185,3.28084
0,258.0592651,3.28084
0,268.0975036,3.28084
0,254.5396614,3.28084
0,235.3195541,3.28084
0,210.404456,3.28084
0,185.4893579,3.28084
0,173.7333478,3.28084
0,170.0192459,3.28084
0,158.6619899,3.28084
0,158.0733444,3.28084
0,170.8908471,3.28084
0,207.7776083,3.28084
0,244.6643694,3.28084
0,608.5006125,3.28084
0,972.3368556,3.28084
0,1018.268716,3.28084
0,1047.01756,3.28084
0,1051.697145,3.28084
0,1050.748135,3.28084
0,901.8472827,3.28084
0,752.9464302,3.28084
0,916.8436147,3.28084
0,1729.461032,3.28084
0,1804.438433,3.28084
0,2292.912127,3.28084
0,2602.388181,3.28084
0,2911.864235,3.28084
0,3221.340289,3.28084
0,2891.56797,3.28084
0,3890.567235,3.28084
0,3820.088372,3.28084
0,57934.04089,3.28084
0,57652.55868,3.28084
0,57230.74965,3.28084
0,56808.94063,3.28084
0,55830.34485,3.28084
0,55458.7252,3.28084
0,887.4063546,3.28084
0,711.5222448,3.28084
0,930.7537051,3.28084
0,1149.985165,3.28084
0,1088.81496,3.28084
0,1056.112709,3.28084
0,1038.678278,3.28084
0,992.0246614,3.28084
0,690.5822799,3.28084
0,389.1398984,3.28084
0,333.7543765,3.28084
0,307.4656297,3.28084
0,280.6091444,3.28084
0,283.4759037,3.28084
0,286.3426629,3.28084
0,289.2094222,3.28084
0,292.0761814,3.28084
0,292.0125013,3.28084
0,292.5165596,3.28084
0,285.305782,3.28084
0,288.4552648,3.28084
0,295.0338193,3.28084
0,342.8416883,3.28084
0,390.6495573,3.28084
0,438.6622739,3.28084
0,530.3119737,3.28084
0,611.601413,3.28084
0,720.0408238,3.28084
0,787.25092,3.28084
0,854.4610162,3.28084
0,921.4662648,3.28084
0,952.0453079,3.28084
0,1335.732884,3.28084
0,8142.278539,3.28084
0,8114.120461,3.28084
0,8199.474299,3.28084
0,8183.215256,3.28084
0,8078.327368,3.28084
0,7620.330946,3.28084
0,708.8974034,3.28084
0,618.959533,3.28084
0,415.5097466,3.28084
0,298.6697117,3.28084
0,270.4585221,3.28084
0,236.2340701,3.28084
0,202.0096181,3.28084
0,180.9932258,3.28084
0,159.9768335,3.28084
0,153.9635711,3.28084
0,142.942373,3.28084
0,131.2458452,3.28084
0,117.5495841,3.28084
0,105.4322318,3.28084
0,94.85051956,3.28084
0,84.66467268,3.28084
0,79.16620532,3.28084
0,80.35632993,3.28084
0,83.54618785,3.28084
0,84.1511955,3.28084
0,83.2205631,3.28084
0,81.89406533,3.28084
0,80.88812385,3.28084
0,81.00309053,3.28084
0,79.11246383,3.28084
0,74.39464864,3.28084
0,69.46453929,3.28084
0,66.17085201,3.28084
0,65.82942817,3.28084
0,64.36709617,3.28084
0,94.70355626,3.28084
0,143.0629092,3.28084
0,244.4862205,3.28084
0,344.2731097,3.28084
0,441.1077354,3.28084
0,1077.699324,3.28084
0,1810.957038,3.28084
0,2530.024989,3.28084
0,2539.089416,3.28084
0,2548.153844,3.28084
0,2488.220618,3.28084
0,1881.706513,3.28084
0,1141.537175,3.28084
0,394.971375,3.28084
0,301.7567397,3.28084
0,203.6111818,3.28084
0,165.3880901,3.28084
0,131.2223176,3.28084
0,102.4724964,3.28084
0,81.66360459,3.28084
0,64.72262649,3.28084
0,53.73924725,3.28084
0,51.625915,3.28084
0,51.19462037,3.28084
0,53.86132552,3.28084
0,53.07719813,3.28084
0,52.19946258,3.28084
0,49.86472847,3.28084
0,47.69083693,3.28084
0,53.29038739,3.28084
0,53.4519346,3.28084
0,55.72831212,3.28084
0,58.3045539,3.28084
0,60.67425726,3.28084
0,63.19335837,3.28084
0,62.65931739,3.28084
0,65.45251392,3.28084
0,68.03724474,3.28084
0,70.23826609,3.28084
0,73.07614823,3.28084
0,1902.720247,3.28084
0,3728.728605,3.28084
0,3747.319119,3.28084
0,3773.057013,3.28084
0,3786.720664,3.28084
0,3794.843165,3.28084
0,1971.840804,3.28084
0,147.3054371,3.28084
0,126.8772682,3.28084
0,96.90359604,3.28084
0,79.89287622,3.28084
0,68.42330651,3.28084
0,61.16728224,3.28084
0,57.56630192,3.28084
0,57.37008678,3.28084
0,58.57938338,3.28084
0,59.01020514,3.28084
0,60.77079015,3.28084
0,60.52601924,3.28084
0,58.15921025,3.28084
0,56.49100693,3.28084
0,57.41694569,3.28084
0,58.34288446,3.28084
0,115.2929213,3.28084
0,164.9228036,3.28084
