Type,Radius,Length
1,0,43.985
0,10.139,29.942
1,0,15.081
0,49.96,6.666
0,18.056,12.196
0,21.185,14.066
0,22.919,6.273
0,0,10.491
0,22.235,15.622
1,0,4.169
0,22,72.945
0,8.301,18.923
0,11.102,15.102
1,0,57.866
0,16.755,11.256
1,0,8.056
0,7.715,13.047
0,24.891,7.517
1,0,5.952
0,20.006,17.04
0,19.567,17.648
1,0,14.588
0,16.479,49.412
0,31.274,125.984
1,0,32.77
0,13.103,19.631
0,8.444,23.03
1,0,69.342
0,12.349,9.206
0,11.163,13.625
0,13.774,10.527
0,15.396,10.977
0,22.793,14.967
0,24.051,14.687
0,12.087,27.223
1,0,16.466
0,13.309,22.45
1,0,15.127
0,15.001,25.935
1,0,18.792
0,23.873,20.232
0,34.673,8.628
0,26.783,10.437
0,9.002,7.129
0,8.451,14.722
0,16.187,15.373
1,0,70.343
0,22.117,47.373
0,18.237,12.18
0,15.383,8.287
0,20.281,12.615
0,19.287,12.479
0,19.637,9.494
0,53.052,29.787
1,0,3.646
0,8.475,26.578
1,0,8.298
0,18.112,18.326
1,0,38.329
